MsgID.GLOBAL_POSITION,1520106037.0981250,-121.9939362,37.4137409,0.0680000
MsgID.LOCAL_VELOCITY,1520106037.0981250,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520106037.0983071,0.0058208,0.0178089,-0.0686210
MsgID.LOCAL_VELOCITY,1520106037.0983071,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520106037.0984309,-121.9939348,37.4137408,0.0560000
MsgID.LOCAL_VELOCITY,1520106037.0984309,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520106037.0985420,-0.0101540,0.1439099,-0.0568324
MsgID.LOCAL_VELOCITY,1520106037.0985420,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520106037.0986550,-121.9939360,37.4137419,0.0420000
MsgID.LOCAL_VELOCITY,1520106037.0986550,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520106037.0987689,0.1123924,0.0292952,-0.0424153
MsgID.LOCAL_VELOCITY,1520106037.0987689,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520106037.0989730,False,False
MsgID.GLOBAL_HOME,1520106037.0994821,-121.9939364,37.4137409,0.0000000
MsgID.GLOBAL_POSITION,1520106037.0995841,-121.9939365,37.4137415,0.0290000
MsgID.LOCAL_VELOCITY,1520106037.0995841,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520106037.0997279,0.0650761,-0.0080094,-0.0291755
MsgID.LOCAL_VELOCITY,1520106037.0997279,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520106037.0998559,-121.9939363,37.4137407,0.0200000
MsgID.LOCAL_VELOCITY,1520106037.0998559,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520106037.0999720,-0.0205020,0.0102031,-0.0204670
MsgID.LOCAL_VELOCITY,1520106037.0999720,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520106037.1001170,-121.9939348,37.4137407,0.0170000
MsgID.LOCAL_VELOCITY,1520106037.1001170,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520106037.1002290,-0.0206249,0.1416851,-0.0178519
MsgID.LOCAL_VELOCITY,1520106037.1002290,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520106037.1003361,-121.9939362,37.4137407,0.0180000
MsgID.LOCAL_VELOCITY,1520106037.1003361,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520106037.1004438,-0.0209095,0.0186575,-0.0189455
MsgID.LOCAL_VELOCITY,1520106037.1004438,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520106037.1005960,False,False
MsgID.GLOBAL_HOME,1520106037.1009128,-121.9939364,37.4137409,0.0000000
MsgID.GLOBAL_POSITION,1520106037.1010129,-121.9939378,37.4137407,0.0180000
MsgID.LOCAL_VELOCITY,1520106037.1010129,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520106037.1011231,-0.0207284,-0.1275290,-0.0183730
MsgID.LOCAL_VELOCITY,1520106037.1011231,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520106037.3202660,-121.9939375,37.4137404,0.2050000
MsgID.LOCAL_VELOCITY,1520106037.3202660,0.0000000,0.0000000,-1.7500000
MsgID.LOCAL_POSITION,1520106037.3205178,-0.1841044,-0.2569362,-0.2052200
MsgID.LOCAL_VELOCITY,1520106037.3205178,0.0006964,-0.0038263,-1.7557952
MsgID.GLOBAL_POSITION,1520106037.5712490,-121.9939350,37.4137401,0.7950000
MsgID.LOCAL_VELOCITY,1520106037.5712490,0.0000000,-0.0100000,-2.9500000
MsgID.LOCAL_POSITION,1520106037.5714650,-0.2169399,-0.0397520,-0.7957506
MsgID.LOCAL_VELOCITY,1520106037.5714650,0.0046316,-0.0110118,-2.9583554
MsgID.GLOBAL_POSITION,1520106037.8205981,-121.9939357,37.4137397,1.5900000
MsgID.LOCAL_VELOCITY,1520106037.8205981,0.0000000,-0.0200000,-3.4500000
MsgID.LOCAL_POSITION,1520106037.8207519,-0.2532420,-0.1030715,-1.5900849
MsgID.LOCAL_VELOCITY,1520106037.8207519,0.0056640,-0.0292482,-3.4525692
MsgID.STATE,1520106038.0654862,True,True
MsgID.GLOBAL_HOME,1520106038.0657248,-121.9939346,37.4137420,0.0000000
MsgID.GLOBAL_POSITION,1520106038.0702090,-121.9939363,37.4137404,2.4780000
MsgID.LOCAL_VELOCITY,1520106038.0702090,0.0000000,-0.0300000,-3.7300000
MsgID.LOCAL_POSITION,1520106038.0704241,-0.1755802,-0.1543770,-2.4788060
MsgID.LOCAL_VELOCITY,1520106038.0704241,0.0098578,-0.0365090,-3.7308018
MsgID.GLOBAL_POSITION,1520106038.3222511,-121.9939355,37.4137421,3.2500000
MsgID.LOCAL_VELOCITY,1520106038.3222511,0.0100000,-0.0200000,-2.0000000
MsgID.LOCAL_POSITION,1520106038.3224471,0.0039256,-0.0802852,-3.2508976
MsgID.LOCAL_VELOCITY,1520106038.3224471,0.0105298,-0.0267343,-2.0001326
MsgID.GLOBAL_POSITION,1520106038.5712230,-121.9939381,37.4137422,3.4510000
MsgID.LOCAL_VELOCITY,1520106038.5712230,0.1100000,-0.0200000,0.0800000
MsgID.LOCAL_POSITION,1520106038.5714681,0.0235674,-0.3105286,-3.4517066
MsgID.LOCAL_VELOCITY,1520106038.5714681,0.1113748,-0.0221085,0.0874823
MsgID.GLOBAL_POSITION,1520106038.8209128,-121.9939386,37.4137424,3.2940000
MsgID.LOCAL_VELOCITY,1520106038.8209128,0.8200000,0.0000000,1.0300000
MsgID.LOCAL_POSITION,1520106038.8210671,0.0464624,-0.3592988,-3.2947476
MsgID.LOCAL_VELOCITY,1520106038.8210671,0.8225953,0.0028150,1.0320345
MsgID.STATE,1520106039.0661230,True,True
MsgID.GLOBAL_HOME,1520106039.0663791,-121.9939346,37.4137420,0.0000000
MsgID.GLOBAL_POSITION,1520106039.0726140,-121.9939380,37.4137436,2.9990000
MsgID.LOCAL_VELOCITY,1520106039.0726140,1.9000000,0.0500000,1.1600000
MsgID.LOCAL_POSITION,1520106039.0728199,0.1724689,-0.2995493,-2.9997690
MsgID.LOCAL_VELOCITY,1520106039.0728199,1.9032447,0.0522060,1.1683847
MsgID.GLOBAL_POSITION,1520106039.3208692,-121.9939355,37.4137503,2.8460000
MsgID.LOCAL_VELOCITY,1520106039.3208692,3.4000000,0.0900000,0.1700000
MsgID.LOCAL_POSITION,1520106039.3210850,0.9225451,-0.0829756,-2.8463876
MsgID.LOCAL_VELOCITY,1520106039.3210850,3.4044881,0.0977115,0.1748418
MsgID.GLOBAL_POSITION,1520106039.5724669,-121.9939355,37.4137598,2.9250000
MsgID.LOCAL_VELOCITY,1520106039.5724669,4.5700000,0.0900000,-0.4200000
MsgID.LOCAL_POSITION,1520106039.5726600,1.9746281,-0.0787743,-2.9251981
MsgID.LOCAL_VELOCITY,1520106039.5726600,4.5718546,0.0997729,-0.4201934
MsgID.GLOBAL_POSITION,1520106039.8227971,-121.9939356,37.4137704,3.0420000
MsgID.LOCAL_VELOCITY,1520106039.8227971,5.1600000,0.0800000,-0.1300000
